"Wait, We Have a Video Game Archive?",5/2/2014,16:00,5/2/2014,16:50,FALSE,"The Computer and Video Game Archive at the University of Michigan recently celebrated its fifth anniversary.  Learn who uses the Archive, what uses are most common, and what game is heavily restricted.  Speakers include:Britain Woodman, David Carter","Algonquin D",PUBLIC
"The Age of the Cyborgs",5/2/2014,17:00,5/2/2014,17:50,FALSE,"Neuroprosthetics and brain-computer-interface systems are rapidly becoming a reality. What neuroscience challenges will we face in getting to our cyborg future? What are the impacts on our society? Explore and discuss with a talk followed by Q&A.  Speakers include:Heather Aman","Algonquin D",PUBLIC
"Solar System Ambassador Lecture",5/2/2014,18:00,5/2/2014,18:50,FALSE,"Learn about the current space missions and their impact on science today: Dawn, Juno, and New Horizons.  Speakers include:Bob Trembley","Algonquin D",PUBLIC
"Small Bodies in the Solar System",5/2/2014,19:00,5/2/2014,19:50,FALSE,"Asteroids, comets, Kuiper Belt objects and minor planets -- learn about the half-million objects we share our solar system with.  Speakers include:Marie-therese Enga, Bob Trembley","Algonquin D",PUBLIC
"War on Cooties: Bringing Nerd Men and Women to the Same Gameboard",5/2/2014,20:00,5/2/2014,20:50,FALSE,"From Samus Aran to Princess Peach, equal gender representation in nerd culture has been slim at best. With the way we are already judging each other for who is the most ‘L337’ nerd, it’s no surprise that women are getting even more judgement from the nerd community at large. Where are all the female heroes? The tournament-winning chicks? And why are you judging me for kicking YOUR butt in Super Smash Bros.? No matter your gender, please join in on this hot topic! This panel aims to discuss the social issues, inequality and perks that come with being a geeky lady!  Speakers include:Victoria Stapels, April Nance, Sunny Smith, Erika Carlson, Eva Galperin","Algonquin D",PUBLIC
"Adventures in Metallurgy",5/3/2014,9:00,5/3/2014,9:50,FALSE,"What does the CIA have in common with dinosaur extinction? They have a great metallurgical story behind them! Come hear some great stories from Professor Ron, followed by Q&A.  Speakers include:Ron Demerino","Algonquin D",PUBLIC
"Harrowing Tales in Metallurgy",5/3/2014,10:00,5/3/2014,10:50,FALSE,"Christmas Interruptus? Narcs on a bus? (Nope! They are engineers) Professor Ron relates more great tales from his career, followed by Q&A.   Speakers include:Ron Demerino","Algonquin D",PUBLIC
"Fighting in Film vs. Martial Arts",5/3/2014,11:00,5/3/2014,12:50,FALSE,"A demonstration of how a fight scene in a movie is blocked out, choreographed, rehearsed, filmed, edited, and finally seen by the audience.  Speakers include:Mary Poirier, Douglas Scholl, Douglas Tobin, Keith Martens","Algonquin D",PUBLIC
"Introduction to Leadership",5/3/2014,13:00,5/3/2014,14:50,FALSE,"What makes a good leader?  What makes a person willingly work or follow another person, and what are the qualities that make us successful as leaders and managers?  If you've ever wanted to know how to be a more effective manager, how you can attract people who want to work for you, or just how to be more effective at managing your group, this is an introduction to what makes those people special, and rise above the rest.  Speakers include:Kent Newland","Algonquin D",PUBLIC
"What is the EFF?",5/3/2014,15:00,5/3/2014,15:50,FALSE,"With revelations coming out on a daily basis, it's obvious that our privacy is both critically important and under attack. Come learn about an organization that is defending our rights every day.   Speakers include:Eva Galperin, Cory Doctorow","Algonquin D",PUBLIC
"Urban Astronomy: Your Sky Tonight",5/3/2014,16:00,5/3/2014,16:50,FALSE,"Find out what you can see in our light-polluted skies, and learn a bit about Astronomy and current events in Space/Astronomy news.  Speakers include:Bob Trembley","Algonquin D",PUBLIC
"Chillin' with YTC",5/3/2014,17:00,5/3/2014,17:50,FALSE,"Got any questions for an (in)famous hacker and Internet famous rapper?  We're doing informal hangout session with our GoH YTCracker!  Join in!  Speakers include:YTCracker","Algonquin D",PUBLIC
"The NSA is Watching You: The Government, Surveillance, and You",5/3/2014,18:00,5/3/2014,18:50,FALSE,"Now that Edward Snowden has made you aware that the government is watching and recording your every move, come join our GoH Eva Galperin and Featured Guests Cory Doctorow and Nick Farr as they discuss of the implications of living in a surveillance state.   Speakers include:Eva Galperin, Cory Doctorow, Nick Farr","Algonquin D",PUBLIC
"3D Printing and Linux",5/3/2014,19:00,5/3/2014,19:50,FALSE,"3D Printing is a big thing with the maker movement, and Tom shows how you can do this with free software. Tom is a Red Hat employee and member of the Fedora project.  Speakers include:Tom Callaway","Algonquin D",PUBLIC
"Raspberry Pi Hacks",5/3/2014,20:00,5/3/2014,20:50,FALSE,"ife with the Raspberry Pi. Learn how to choose the best distro for the job you intend to do, and advance to building a custom kernel. You'll learn how to add a power switch and check your power problems. See what we and others have made, from light displays and using the Pi as an FM radio to a Star Wars project so good, it scored the creator an upgrade from girlfriend to wife. You'll see Lego TARDIS, Pi-powered Pipboy, and aliens, so come ready to geek out, both Pi and otherwise.  Speakers include:Ruth Suehle, Tom Callaway","Algonquin D",PUBLIC
"PowerPoint Karaoke",5/3/2014,21:00,5/3/2014,21:50,FALSE,"Players will try out their improv chops one at a time with a random slide deck which they get to present to the audience (with a time limit). Each player hangs a compelling or funny narrative on whatever art, charts, technobabble, or self-improvement jargon comes up on the slides. Volunteer from the audience! Prizes awarded!  Speakers include:Sarah Elkins, Cylithria Dubois","Algonquin D",PUBLIC
"Lost Gems in Media",5/4/2014,9:00,5/4/2014,9:50,FALSE,"Ever have someone tell you about a favorite TV series or book that you've never heard of, then you check it out and wonder why everyone *hasn't* heard of it?  Come share your favorite book/movie/TV show that you feel got less press than it deserved.    Speakers include:Derek Newland","Algonquin D",PUBLIC
"Whedonites Unite! Trivia",5/4/2014,10:00,5/4/2014,10:50,FALSE,"Brush up on your Whedonverse knowledge and join us for a rousing game of trivia based on the creations of the one and only! Buffy to Firefly, Dr. Horrible to Cabin in the Woods, Avengers to Agents of S.H.I.E.L.D. Fabulous prizes await you!  Speakers include:Jennifer Beitzel","Algonquin D",PUBLIC
"Securing Your Home Network with a Hardware Firewall",5/4/2014,11:00,5/4/2014,11:50,FALSE,"Learn how to make your home network more secure using a hardware firewall with Chris, a security professional.  Speakers include:Chris Krieger","Algonquin D",PUBLIC
"The Future of Healthcare in the 21st Century and Beyond",5/4/2014,12:00,5/4/2014,12:50,FALSE,"Movies and Sci-fi TV shows present visions of the future of medicine that may or may not come to pass. How will hospitals and healthcare providers step up to meet the challenges in today's health care? What are the future challenges? What roles will genomics and neuroscience play? Our panelists explore these themes in a wide ranging discussion with audience participation.  Speakers include:Amara Sugalski, Catherine Shaffer, Jessica Roland","Algonquin D",PUBLIC
"Python",5/4/2014,13:00,5/4/2014,13:50,FALSE,"Come learn all about programing in Python from Mike, a member of the Python Users Group in Ann Arbor.  Speakers include:Mike Bernson","Algonquin D",PUBLIC
"The Changing Surface of Mars",5/4/2014,14:00,5/4/2014,14:50,FALSE,"A history of Martian surface changes as documented by Viking, Mariner 9, Mars Global Surveyor and the Mars Reconnaissance Orbiter. Global dust storms, dust devils and persistent winds have lend to brightness variations on more then 30% of the Martian surface.  Speakers include:Marie-therese Enga","Algonquin D",PUBLIC
"Guns for Writers - What Writers Should Know About Firearms For Their Work",5/4/2014,15:00,5/4/2014,15:50,FALSE,"Come talk about guns with a firearms instructor and writer. The panel will briefly discuss the history of firearms with a focus on modern and near future tech. Learn more about how guns work, how to write convincing scenes with firearms, and how knowing more about guns can help both your world building and character development. NOTE: This is NOT the 'Geeks with Guns' event.   Speakers include:Rob Reed","Algonquin D",PUBLIC
